,Locality,Price,Carpet Area,Status,Transaction,Floor
0,"3 BHK Apartmentfor Sale inSun Exotica,Yewalewadi, Katraj",₹ 67.3 Lac,1033 sqft,Possession by May '20,New Property,
1,1 BHK Apartmentfor Sale inKatraj,₹ 20 Lac,570 sqft,Ready to Move,Resale,3 out of 4 floors
2,"2 BHK Apartmentfor Sale inGanga Ishanya,Satara Road",₹ 1.53 Cr,,,New Property,
3,"2 BHK Apartmentfor Sale inVastushree,Katraj",₹ 59 Lac,932 sqft,Ready to Move,New Property,8 out of 15 floors
4,"3 BHK Apartmentfor Sale inJairaj Majestic Towers,Katraj",₹ 99 Lac,1300 sqft,Ready to Move,Resale,3 out of 12 floors
5,"1 BHK Apartmentfor Sale inBelvalkar Chaitrangan,Katraj",₹ 42.8 Lac,575 sqft,Ready to Move,Resale,4 out of 6 floors
6,"2 BHK Builder Floorfor Sale inGokul Nagar-Katraj, Katraj",₹ 43 Lac,700 sqft,Ready to Move,Resale,1 out of 4 floors
7,Studio Apartmentfor Sale inKatraj,₹ 10 Lac,319 sqft,Ready to Move,Resale,3 out of 4 floors
8,2 BHK Apartmentfor Sale inKatraj,₹ 68 Lac,750 sqft,Ready to Move,Resale,5 out of 5 floors
9,"3 BHK Apartmentfor Sale inGanga Ishanya,Satara Road",₹ 1.70 Cr,,,New Property,
10,"2 BHK Apartmentfor Sale inKanchan Sunratna,Yewalewadi, Katraj",₹ 45 Lac,568 sqft,Ready to Move,Resale,4 out of 9 floors
11,"2 BHK Apartmentfor Sale inSun Exotica,Yewalewadi, Katraj",₹ 45 Lac,750 sqft,Ready to Move,New Property,4 out of 11 floors
12,"2 BHK Apartmentfor Sale inYewalewadi, Katraj",₹ 48 Lac,,Ready to Move,Resale,7 out of 12 floors
13,2 BHK Apartmentfor Sale inKatraj,₹ 78 Lac,861 sqft,Ready to Move,Resale,9 out of 12 floors
14,"2 BHK Apartmentfor Sale inYewalewadi, Katraj",₹ 40 Lac,61 sqm,Ready to Move,Resale,2 out of 7 floors
15,"3 BHK Apartmentfor Sale inSun Exotica,Yewalewadi, Katraj",₹ 75 Lac,1040 sqft,Ready to Move,New Property,10 out of 12 floors
16,"1 BHK Apartmentfor Sale inEmppire Eternity,Katraj",₹ 38 Lac,479 sqft,Ready to Move,New Property,3 out of 7 floors
17,"2 BHK Builder Floorfor Sale inNilaya Homes,Katraj",₹ 72 Lac,728 sqft,Ready to Move,Resale,4 out of 6 floors
18,"2 BHK Apartmentfor Sale inAnika Mangalam,Katraj",₹ 48 Lac,696 sqft,Ready to Move,New Property,2 out of 10 floors
19,"2 BHK Apartmentfor Sale inKanchan Sunratna,Yewalewadi, Katraj",₹ 51 Lac,812 sqft,Ready to Move,Resale,1 out of 10 floors
20,"1 BHK Apartmentfor Sale inFortune Shubhan Phase 2,Yewalewadi, Katraj",₹ 25 Lac,460 sqft,Ready to Move,New Property,6 out of 9 floors
21,"2 BHK Apartmentfor Sale inNilaya Homes,Katraj",₹ 65 Lac,775 sqft,Ready to Move,Resale,2 out of 11 floors
22,"2 BHK Apartmentfor Sale inSky Square,Yewalewadi, Katraj",₹ 45 Lac,,Ready to Move,New Property,4 out of 9 floors
23,"3 BHK Apartmentfor Sale inVaarahi,Katraj",₹ 75 Lac,,Ready to Move,New Property,3 out of 11 floors
24,1 BHK Apartmentfor Sale inKatraj,₹ 14 Lac,,Ready to Move,New Property,4 out of 5 floors
25,"1 BHK Apartmentfor Sale inGokul Nagar-Katraj, Katraj",₹ 45 Lac,675 sqft,Ready to Move,New Property,1 out of 4 floors
26,1 BHK Apartmentfor Sale inKatraj,₹ 26.4 Lac,553 sqft,Possession by Dec '23,New Property,5 out of 11 floors
27,1 BHK Apartmentfor Sale inKatraj,₹ 35 Lac,700 sqft,Ready to Move,Resale,3 out of 6 floors
28,1 BHK Apartmentfor Sale inKatraj,None,560 sqft,Ready to Move,Resale,2 out of 3 floors
29,"2 BHK Apartmentfor Sale inLa Casa Residency,Katraj",₹ 55 Lac,,Ready to Move,Resale,4 out of 4 floors
